tipo,marca,modelo,procesador,ram,almacenamiento,serial,user_id,estatus Equipo,Departamento,Observaciones,Requerimiento
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515616,,Activo,DIRECCI흁 GENERAL DE DESARROLLO REGIONAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-11400, 8 GB de Ram , Disco Solido de  240 GB.,1561515617,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,ADMINISTRACION,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515618,,Activo,SUBDIRECCI흁 DE EVALUACI흁 SOCIAL ,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515619,,Activo,UNIDAD IGUALDAD DE GENERO,,Requiere Ram para aumentar capacidad
Computadora de Escritorio ,dell,Inspire, Procesador I5-4590, 4 GB de Ram , Disco Duro de  500 GB Mecanico.,1561515620,,Activo,BIENESTAR,,Disco Duro de Estado Solido de 240 GB
Computadora de Escritorio ,dell,Inspire, Procesador I5-4590, 4 GB de Ram , Disco Duro de  500 GB Mecanico.,1561515621,,Activo,DIRECCI흁 GENERAL DE INFRAESTRUCTURA SOCIAL,,Disco Duro de Estado Solido de 240 GB
Computadora de Escritorio ,dell,Inspire, Procesador I5-10505, 8 GB de Ram , Disco Solido de  480 GB.,1561515623,,Activo,BIENESTAR,,Ninguna
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Duro de  160 GB Mecanico.,1561515624,,Activo,BIENESTAR,,Disco Duro de Estado Solido de 240 GB
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Duro Mecanico 320 gb ,1561515625,,Activo,DESPACHO,Falla Monitor,Disco Duro de Estado Solido de 240 GB
Computadora de Escritorio ,dell,Inspire, Procesador E5700, 4 GB de Ram , Disco Solido de  240 GB.,1561515626,,Activo,BIENESTAR,,Ninguna
Computadora de Escritorio ,dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Solido de  480 GB.,1561515627,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,ADMINISTRACION,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515628,,Activo,SUBSECRETAR페 DE INFRAESTRUCTURA SOCIAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador RYZEN 5 5600, 8 GB de Ram , Disco Solido de  240 GB.,1561515629,,Activo,ORGANO INTERNO DE CONTROL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 8 GB de Ram , Disco Solido de  480 GB.,1561515630,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,ADMINISTRACION,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515631,,Activo,SUBSECRETARIA DE INCLUSION SOCIAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Solido de  480 GB.,1561515632,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,ADMINISTRACION,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5700, 3 GB de Ram , Disco Duro de  320 GB Mecanico.,1561515633,,Activo,BIENESTAR,,Disco Duro de Estado Solido de 240 GB y 4Gb de Ram
Computadora de Escritorio ,dell,Inspire, Procesador I5-10505, 8 GB de Ram , Disco Solido de  480 GB.,1561515634,,Activo,BIENESTAR,,Ninguna
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  480 GB.,1561515635,,Activo,DIRECCI흁 GENERAL DE DESARROLLO REGIONAL,Equipo asignado a Captura en area Pecera Planta Alta,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5500, 4 GB de Ram , Disco Solido de  240 GB.,1561515636,,Activo,DIRECCI흁 GENERAL DE DESARROLLO REGIONAL,Asignado a Captura Pecera Planta Alta,Ninguno
Computadora AIO ,dell,Inspire, Procesador J1900 , 8 Gb de Ram , Disco Solido de 240GB,1561515637,,Activo,DIRECCI흁 GENERAL DE DESARROLLO REGIONAL,Planta Baja,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Duro de  1TB GB Mecanico.,1561515638,,Activo,DIRECCI흁 GENERAL DE DESARROLLO REGIONAL,Planta Baja,Disco Duro de Estado Solido de 240 GB
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  480 GB.,1561515639,,Activo,DIRECCI흁 GENERAL DE DESARROLLO REGIONAL,Planta Baja,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  480 GB.,1561515640,,Activo,DIRECCI흁 GENERAL DE DESARROLLO REGIONAL,Planta Baja,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 8 GB de Ram , Disco Solido de  240 GB.,1561515641,,Activo,DIRECCI흁 GENERAL DE INFRAESTRUCTURA SOCIAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Duro de  160 GB Mecanico.,1561515642,,Activo,OFICIALIA DE PARTES,,Disco Duro de Estado Solido de 240 GB
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 2 GB de Ram , Disco Duro de  320 GB Mecanico.,1561515643,,Activo,DIRECCION GENERAL DE PARTICIPACION SOCIAL,,Disco Duro de Estado Solido de 240 GB y 4Gb de Ram
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515644,,Activo,DIRECCI흁 GENERAL DE DESARROLLO REGIONAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Solido de  480 GB.,1561515645,,Activo,SUBSECRETARIA DE INCLUSION SOCIAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Solido de  480 GB.,1561515646,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,ADMINISTRACION,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  480 GB.,1561515647,,Activo,SUBSECRETAR페 DE INFRAESTRUCTURA SOCIAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515648,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,VEHICULOS,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-10505, 8 GB de Ram , Disco Solido de  480 GB.,1561515649,,Activo,SUBSECRETAR페 DE INFRAESTRUCTURA SOCIAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515650,,Activo,ORGANO INTERNO DE CONTROL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515651,,Activo,DIRECCION GENERAL DE PARTICIPACION SOCIAL,,Ninguna
Computadora de Escritorio ,dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Solido de  240 GB.,1561515652,,Activo,DIRECCI흁 DE LICITACIONES Y COSTOS,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  480 GB.,1561515653,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,RH,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400,  GB de Ram , Disco Duro de  160 GB Mecanico.,1561515654,,Activo,DIRECCION GENERAL DE PARTICIPACION SOCIAL,,Disco Duro de Estado Solido de 240 GB y 4Gb de Ram
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515655,,Activo,DIRECCI흁 GENERAL DE INFRAESTRUCTURA SOCIAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Solido de  480 GB.,1561515656,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,VEHICULOS,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Duro de  320 GB Mecanico.,1561515657,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,PROGRAMACION,Disco Duro de Estado Solido de 240 GB
Computadora de Escritorio ,dell,Inspire, Procesador I5-10505, 8 GB de Ram , Disco Solido de  480 GB.,1561515658,,Activo,DESPACHO,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5700, 3 GB de Ram , Disco Solido de  240 GB.,1561515659,,Activo,DIRECCION DE ATENCION Y GESTION AL CIUDADANO,,Requiere Ram para aumentar capacidad
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515660,,Activo,DIRECCI흁 DE LICITACIONES Y COSTOS,,Ninguno
Computadora de Escritorio ,dell,Inspire,,,,1561515661,,Activo,DIRECCI흁 GENERAL DE INFRAESTRUCTURA SOCIAL,,Ninguna
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515662,,Activo,SUBDIRECCI흁 DE EVALUACI흁 SOCIAL ,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-10505, 8 GB de Ram , Disco Solido de  480 GB.,1561515663,,Activo,BIENESTAR,,Ninguna
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 3 GB de Ram , Disco Solido de  240 GB.,1561515664,,Activo,DESPACHO,,Requiere Ram para aumentar capacidad
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Duro de  320 GB Mecanico.,1561515665,,Activo,DIRECCI흁 GENERAL DE INFRAESTRUCTURA SOCIAL,,Disco Duro de Estado Solido de 240 GB
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515666,,Activo,FAIS,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  480 GB.,1561515667,,Activo,SUBDIRECCI흁 DE EVALUACI흁 SOCIAL ,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 8GB de Ram , Disco Solido de 240 GB.,1561515668,,Activo,SISTEMAS,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515669,,Activo,SUBSECRETAR페 DE INFRAESTRUCTURA SOCIAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E4500, 4 GB de Ram , Disco Duro de  320 GB Mecanico.,1561515670,,Activo,DIRECCION DE ATENCION Y GESTION AL CIUDADANO,,Disco Duro de Estado Solido de 240 GB
Computadora de Escritorio ,dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Solido de  1TB GB.,1561515671,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,ADMINISTRACION,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador ,  GB de Ram , Disco Solido de   GB.,1561515672,,Activo,DIRECCI흁 GENERAL DE INFRAESTRUCTURA SOCIAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Solido de  480 GB.,1561515673,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,ADMINISTRACION,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  1TB GB.,1561515674,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,ADMINISTRACION,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-4590, 4 GB de Ram , Disco Solido de  240 GB.,1561515675,,Activo,DIRECCION GENERAL JURIDICA Y DE TRANSPARENCIA,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515676,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,ADMINISTRACION,Requiere Ram para aumentar capacidad
Computadora de Escritorio ,dell,Inspire, Procesador E5700, 3 GB de Ram , Disco Solido de  240 GB.,1561515677,,Activo,BIENESTAR,,Requiere Ram para aumentar capacidad
Computadora de Escritorio ,dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Duro de  1TB GB Mecanico.,1561515678,,Activo,DESPACHO,,Disco Duro de Estado Solido de 240 GB
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515679,,Activo,DIRECCI흁 GENERAL DE INFRAESTRUCTURA SOCIAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-10505, 8 GB de Ram , Disco Solido de  480 GB.,1561515680,,Activo,BIENESTAR,,Ninguna
Computadora de Escritorio ,dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Solido de  240 GB.,1561515681,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,ADMINISTRACION,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Solido de  480 GB.,1561515682,,Activo,DIRECCI흁 GENERAL DE DESARROLLO REGIONAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-10505, 8 GB de Ram , Disco Solido de  480 GB.,1561515683,,Activo,DIRECCION GENERAL JURIDICA Y DE TRANSPARENCIA,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 2 GB de Ram , Disco Solido de  480 GB.,1561515684,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,RH,Requiere Ram para aumentar capacidad
Computadora de Escritorio ,dell,Inspire, Procesador E5400 , 4 GB de Ram , Disco Duro 320 GB HDD.,1561515685,,Activo,BIENESTAR,,Disco Duro de Estado Solido de 240 GB
Computadora de Escritorio ,dell,Inspire, Procesador E5800, 2 GB de Ram , Disco Duro de  160 GB Mecanico.,1561515686,,Activo,SUBDIRECCI흁 DE EVALUACI흁 SOCIAL ,,Disco Duro de Estado Solido de 240 GB y 4Gb de Ram
Computadora de Escritorio ,dell,Inspire, Procesador I5-4590, 4 GB de Ram , Disco Duro de  500 GB Mecanico.,1561515687,,Activo,FAIS,,Disco Duro de Estado Solido de 240 GB
Computadora de Escritorio ,dell,Inspire,,,,1561515688,,Activo,DESPACHO,,Sin Equipo
Computadora de Escritorio ,dell,Inspire, Procesador I5-4590, 4 GB de Ram , Disco Solido de  240 GB.,1561515689,,Activo,DIRECCI흁 DE LICITACIONES Y COSTOS,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-10505, 8 GB de Ram , Disco Solido de  480 GB.,1561515690,,Activo,DIRECCI흁 GENERAL DE INFRAESTRUCTURA SOCIAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5800, 3 GB de Ram , Disco Duro de  160 GB Mecanico.,1561515691,,Activo,DIRECCION GENERAL DE PARTICIPACION SOCIAL,En proceso SSD,Disco Duro de Estado Solido de 240 GB y 4Gb de Ram
Computadora de Escritorio ,dell,Inspire, Procesador I5-10505, 8 GB de Ram , Disco Solido de  480 GB.,1561515692,,Activo,DIRECCI흁 DE LICITACIONES Y COSTOS,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 3 GB de Ram , Disco Duro de  250 GB Mecanico.,1561515693,,Activo,SUBSECRETAR페 DE INFRAESTRUCTURA SOCIAL,,Disco Duro de Estado Solido de 240 GB y 4Gb de Ram
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515694,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,ADMINISTRACION,Ninguno
Computadora de Escritorio ,dell,Inspire,,,,1561515695,,Activo,DIRECCION GENERAL DE PARTICIPACION SOCIAL,,Sin Equipo
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 8 GB de Ram , Disco Solido de  480 GB.,1561515696,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,PROGRAMACION,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-12400, 8 GB de Ram , Disco Solido de  480 GB.,1561515697,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,ADMINISTRACION,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515698,,Activo,FAIS,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5800, 4 GB de Ram , Disco Solido de  480 GB.,1561515699,,Activo,DIRECCI흁 GENERAL DE INFRAESTRUCTURA SOCIAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  480 GB.,1561515700,,Activo,DIRECCION GENERAL JURIDICA Y DE TRANSPARENCIA,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Solido de  480 GB.,1561515701,,Activo,DIRECCION DE ATENCION Y GESTION AL CIUDADANO,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-10505, 8 GB de Ram , Disco Solido de  480 GB.,1561515702,,Activo,DIRECCI흁 GENERAL DE INFRAESTRUCTURA SOCIAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515703,,Activo,DIRECCION GENERAL JURIDICA Y DE TRANSPARENCIA,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador RYZEN 5 5600, 8 GB de Ram , Disco Solido de  240 GB.,1561515704,,Activo,FAIS,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515705,,Activo,UNIDAD IGUALDAD DE GENERO,Reemplazo Teclado y Mouse,Requiere Ram para aumentar capacidad
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  480 GB.,1561515706,,Activo,DIRECCION DE ATENCION Y GESTION AL CIUDADANO,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5700, 4 GB de Ram , Disco Solido de  240 GB.,1561515707,,Activo,DIRECCION GENERAL DE PARTICIPACION SOCIAL,,Ninguna
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515708,,Activo,DIRECCION GENERAL JURIDICA Y DE TRANSPARENCIA,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5800, 4 GB de Ram , Disco Solido de  240 GB.,1561515709,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,PROGRAMACION,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  480 GB.,1561515711,,Activo,DIRECCI흁 GENERAL DE INFRAESTRUCTURA SOCIAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515712,,Activo,SUBDIRECCI흁 DE EVALUACI흁 SOCIAL ,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515713,,Activo,BIENESTAR,,Ninguna
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Duro de  320 GB Mecanico.,1561515714,,Activo,DIRECCI흁 GENERAL DE INFRAESTRUCTURA SOCIAL,,Disco Duro de Estado Solido de 240 GB
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  480 GB.,1561515715,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,ADMINISTRACION,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-4590, 4 GB de Ram , Disco Solido de  240 GB.,1561515716,,Activo,DESPACHO,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515717,,Activo,DIRECCION GENERAL DE PARTICIPACION SOCIAL,,Ninguna
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 8 GB de Ram , Disco Solido de  480 GB.,1561515718,,Activo,COMUNICACION SOCIAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Duro de  320 GB Mecanico.,1561515719,,Activo,DESPACHO,,Disco Duro de Estado Solido de 240 GB
Computadora de Escritorio ,dell,Inspire, Procesador E5800, 4 GB de Ram , Disco Solido de  240 GB.,1561515720,,Activo,DIRECCI흁 GENERAL DE INFRAESTRUCTURA SOCIAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515721,,Activo,SUBDIRECCI흁 DE EVALUACI흁 SOCIAL ,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 2 GB de Ram , Disco Duro de  160 GB Mecanico.,1561515722,,Activo,DIRECCION GENERAL DE PARTICIPACION SOCIAL,,Disco Duro de Estado Solido de 240 GB y 4Gb de Ram
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515723,,Activo,SUBSECRETAR페 DE DE INCLUSI흁 SOCIAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-10505, 8 GB de Ram , Disco Solido de  480 GB.,1561515724,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,RH,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-10505, 8 GB de Ram , Disco Solido de  480 GB.,1561515725,,Activo,SUBDIRECCI흁 DE EVALUACI흁 SOCIAL ,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  480 GB.,1561515726,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,ADMINISTRACION,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515727,,Activo,SUBDIRECCI흁 DE EVALUACI흁 SOCIAL ,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 2 GB de Ram , Disco Duro de  160 GB Mecanico.,1561515728,,Activo,OFICIALIA DE PARTES,,Disco Duro de Estado Solido de 240 GB y 4Gb de Ram
Computadora de Escritorio ,dell,Inspire, Procesador I5-10505, 8 GB de Ram , Disco Solido de  480 GB.,1561515729,,Activo,BIENESTAR,,Ninguna
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515730,,Activo,DIRECCI흁 GENERAL DE ADMINISTRACI흁 Y PLANEACI흁,PROGRAMACION,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Duro de  1TB Mecanico.,1561515731,,Activo,BIENESTAR,,Disco Duro de Estado Solido de 240 GB
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515732,,Activo,DIRECCION GENERAL JURIDICA Y DE TRANSPARENCIA,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515733,,Activo,DIRECCI흁 GENERAL DE INFRAESTRUCTURA SOCIAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-4590, 4 GB de Ram , Disco Duro Solido de 240 GB,1561515734,,Activo,DIRECCI흁 GENERAL DE INFRAESTRUCTURA SOCIAL,,Requiere Ram para aumentar capacidad
Computadora de  ,dell,Inspire, Procesador E5800, 3 GB de Ram , Disco Solido de  240 GB.,1561515735,,Activo,UNIDAD IGUALDAD DE GENERO,,Requiere Ram para aumentar capacidad
Computadora Portatil ,dell,Inspire, Procesador I5-6200, 4 GB de Ram , Disco Solido de  480 GB.,1561515736,,Activo,COMUNICACION SOCIAL,,Requiere Ram para aumentar capacidad
Computadora Portatil ,dell,Inspire, Procesador I7-11800H, 16 GB de Ram , Disco Solido de  240 GB.,1561515737,,Activo,COMUNICACION SOCIAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Duro de  160 GB Mecanico.,1561515738,,Activo,DIRECCION GENERAL JURIDICA Y DE TRANSPARENCIA,Equipo y Lugar sin Asignar,Disco Duro de Estado Solido de 240 GB
Computadora de Escritorio ,dell,Inspire, Procesador E5700, 4 GB de Ram , Disco Solido de  240 GB.,1561515739,,Activo,SUBSECRETAR페 DE INFRAESTRUCTURA SOCIAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515740,,Activo,SUBSECRETAR페 DE INFRAESTRUCTURA SOCIAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E7300, 2 GB de Ram , Disco Duro de  160 GB Mecanico.,1561515741,,Activo,DIRECCION GENERAL DE PARTICIPACION SOCIAL,,Disco Duro de Estado Solido de 240 GB y 4Gb de Ram
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 8 GB de Ram , Disco Solido de  480 GB.,1561515742,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,ADMINISTRACION,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515743,,Activo,FAIS,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515744,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,PROGRAMACION,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515745,,Activo,SUBDIRECCI흁 DE EVALUACI흁 SOCIAL ,,Ninguno
Equipo Portatil,dell,Inspire,,,,1561515746,,Activo,DIRECCI흁 GENERAL DE INFRAESTRUCTURA SOCIAL,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Solido de  1TB GB.,1561515747,,Activo,SISTEMAS,,Ninguno
Computadora de Escritorio ,dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515748,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,ADMINISTRACION,Ninguno
