serial_number,name,type,brand,model,serial_number,inventory_number,processor,ram,hard_drive,operating_system,description,status,location,notes,requirement,assigned_user_id,created_at,updated_at,,
EQP-5E593,EQP-5E593,SBS-0056,desktop,47942,Dell,Inspire, Procesador ,  GB de Ram , Disco Solido de   GB.,1561515672,,Activo,DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-BE997',inventory_number:'SBS-0058',type:'desktop',assigned_user_id:'45725',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  1TB GB.',serial_number:'1561515674',status:'Activo',location:'DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION',description:'administrativo',notes:'ADMINISTRACION',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-84926,EQP-84926,SBS-0057,desktop,46764,Dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Solido de  480 GB.,1561515673,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,administrativo,ADMINISTRACION,Ninguno,,,,"{id:'EQP-8EFCE',inventory_number:'SBS-0059',type:'desktop',assigned_user_id:'42622',brand:'Dell',model:'Inspire',processor:' Procesador I5-4590',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515675',status:'Activo',location:'DIRECCION GENERAL JURIDICA Y DE TRANSPARENCIA',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-BE997,EQP-BE997,SBS-0058,desktop,45725,Dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  1TB GB.,1561515674,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,administrativo,ADMINISTRACION,Ninguno,,,,"{id:'EQP-51172',inventory_number:'SBS-0060',type:'desktop',assigned_user_id:'43908',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515676',status:'Activo',location:'DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION',description:'administrativo',notes:'ADMINISTRACION',requirement:'Requiere Ram para aumentar capacidad',created_at:now,updated_at:now},"
EQP-8EFCE,EQP-8EFCE,SBS-0059,desktop,42622,Dell,Inspire, Procesador I5-4590, 4 GB de Ram , Disco Solido de  240 GB.,1561515675,,Activo,DIRECCION GENERAL JURIDICA Y DE TRANSPARENCIA,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-3D929',inventory_number:'SBS-0061',type:'desktop',assigned_user_id:'48181',brand:'Dell',model:'Inspire',processor:' Procesador E5700',ram:' 3 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515677',status:'Activo',location:'BIENESTAR',description:'Captura',notes:'Asignado a Captura Pecera Planta Alta',requirement:'Requiere Ram para aumentar capacidad',created_at:now,updated_at:now},"
EQP-51172,EQP-51172,SBS-0060,desktop,43908,Dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515676,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,administrativo,ADMINISTRACION,Requiere Ram para aumentar capacidad,,,,"{id:'EQP-493D8',inventory_number:'SBS-0062',type:'desktop',assigned_user_id:'41969',brand:'Dell',model:'Inspire',processor:' Procesador I5-10400',ram:' 8 GB de Ram ',hard_drive:' Disco Duro de  1TB GB Mecanico.',serial_number:'1561515678',status:'Activo',location:'DESPACHO',description:'administrativo',notes:'sin observacion',requirement:'Disco Duro de Estado Solido de 240 GB',created_at:now,updated_at:now},"
EQP-3D929,EQP-3D929,SBS-0061,desktop,48181,Dell,Inspire, Procesador E5700, 3 GB de Ram , Disco Solido de  240 GB.,1561515677,,Activo,BIENESTAR,Captura,Asignado a Captura Pecera Planta Alta,Requiere Ram para aumentar capacidad,,,,"{id:'EQP-5BC99',inventory_number:'SBS-0063',type:'desktop',assigned_user_id:'45488',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515679',status:'Activo',location:'DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-493D8,EQP-493D8,SBS-0062,desktop,41969,Dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Duro de  1TB GB Mecanico.,1561515678,,Activo,DESPACHO,administrativo,sin observacion,Disco Duro de Estado Solido de 240 GB,,,,"{id:'EQP-5BC99',inventory_number:'SBS-0064',type:'desktop',assigned_user_id:'41219',brand:'Dell',model:'Inspire',processor:' Procesador I5-10505',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515680',status:'Activo',location:'BIENESTAR',description:'Captura',notes:'Asignado a Captura Pecera Planta Alta',requirement:'Ninguna',created_at:now,updated_at:now},"
EQP-5BC99,EQP-5BC99,SBS-0063,desktop,45488,Dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515679,,Activo,DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC100',inventory_number:'SBS-0065',type:'desktop',assigned_user_id:'41971',brand:'Dell',model:'Inspire',processor:' Procesador I5-10400',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515681',status:'Activo',location:'DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION',description:'administrativo',notes:'ADMINISTRACION',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC99,EQP-5BC99,SBS-0064,desktop,41219,Dell,Inspire, Procesador I5-10505, 8 GB de Ram , Disco Solido de  480 GB.,1561515680,,Activo,BIENESTAR,Captura,Asignado a Captura Pecera Planta Alta,Ninguna,,,,"{id:'EQP-5BC101',inventory_number:'SBS-0066',type:'desktop',assigned_user_id:'14621',brand:'Dell',model:'Inspire',processor:' Procesador I5-10400',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515682',status:'Activo',location:'DIRECCI�N GENERAL DE DESARROLLO REGIONAL',description:'Captura',notes:'Asignado a Captura Pecera Planta Alta',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC100,EQP-5BC100,SBS-0065,desktop,41971,Dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Solido de  240 GB.,1561515681,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,administrativo,ADMINISTRACION,Ninguno,,,,"{id:'EQP-5BC102',inventory_number:'SBS-0067',type:'desktop',assigned_user_id:'42951',brand:'Dell',model:'Inspire',processor:' Procesador I5-10505',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515683',status:'Activo',location:'DIRECCION GENERAL JURIDICA Y DE TRANSPARENCIA',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC101,EQP-5BC101,SBS-0066,desktop,14621,Dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Solido de  480 GB.,1561515682,,Activo,DIRECCI�N GENERAL DE DESARROLLO REGIONAL,Captura,Asignado a Captura Pecera Planta Alta,Ninguno,,,,"{id:'EQP-5BC103',inventory_number:'SBS-0068',type:'desktop',assigned_user_id:'46581',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 2 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515684',status:'Activo',location:'DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION',description:'administrativo',notes:'RH',requirement:'Requiere Ram para aumentar capacidad',created_at:now,updated_at:now},"
EQP-5BC102,EQP-5BC102,SBS-0067,desktop,42951,Dell,Inspire, Procesador I5-10505, 8 GB de Ram , Disco Solido de  480 GB.,1561515683,,Activo,DIRECCION GENERAL JURIDICA Y DE TRANSPARENCIA,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC104',inventory_number:'SBS-0069',type:'desktop',assigned_user_id:'38796',brand:'Dell',model:'Inspire',processor:' Procesador E5400 ',ram:' 4 GB de Ram ',hard_drive:' Disco Duro 320 GB HDD.',serial_number:'1561515685',status:'Activo',location:'BIENESTAR',description:'Captura',notes:'Asignado a Captura Pecera Planta Alta',requirement:'Disco Duro de Estado Solido de 240 GB',created_at:now,updated_at:now},"
EQP-5BC103,EQP-5BC103,SBS-0068,desktop,46581,Dell,Inspire, Procesador E5400, 2 GB de Ram , Disco Solido de  480 GB.,1561515684,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,administrativo,RH,Requiere Ram para aumentar capacidad,,,,"{id:'EQP-5BC105',inventory_number:'SBS-0070',type:'desktop',assigned_user_id:'80887',brand:'Dell',model:'Inspire',processor:' Procesador E5800',ram:' 2 GB de Ram ',hard_drive:' Disco Duro de  160 GB Mecanico.',serial_number:'1561515686',status:'Activo',location:'SUBDIRECCI�N DE EVALUACI�N SOCIAL ',description:'administrativo',notes:'sin observacion',requirement:'Disco Duro de Estado Solido de 240 GB y 4Gb de Ram',created_at:now,updated_at:now},"
EQP-5BC104,EQP-5BC104,SBS-0069,desktop,38796,Dell,Inspire, Procesador E5400 , 4 GB de Ram , Disco Duro 320 GB HDD.,1561515685,,Activo,BIENESTAR,Captura,Asignado a Captura Pecera Planta Alta,Disco Duro de Estado Solido de 240 GB,,,,"{id:'EQP-5BC106',inventory_number:'SBS-0071',type:'desktop',assigned_user_id:'45247',brand:'Dell',model:'Inspire',processor:' Procesador I5-4590',ram:' 4 GB de Ram ',hard_drive:' Disco Duro de  500 GB Mecanico.',serial_number:'1561515687',status:'Activo',location:'FAIS',description:'administrativo',notes:'sin observacion',requirement:'Disco Duro de Estado Solido de 240 GB',created_at:now,updated_at:now},"
EQP-5BC105,EQP-5BC105,SBS-0070,desktop,80887,Dell,Inspire, Procesador E5800, 2 GB de Ram , Disco Duro de  160 GB Mecanico.,1561515686,,Activo,SUBDIRECCI�N DE EVALUACI�N SOCIAL ,administrativo,sin observacion,Disco Duro de Estado Solido de 240 GB y 4Gb de Ram,,,,"{id:'EQP-5BC107',inventory_number:'SBS-0072',type:'desktop',assigned_user_id:'46851',brand:'Dell',model:'Inspire',processor:'',ram:'',hard_drive:'',serial_number:'1561515688',status:'Activo',location:'DESPACHO',description:'administrativo',notes:'sin observacion',requirement:'Sin Equipo',created_at:now,updated_at:now},"
EQP-5BC106,EQP-5BC106,SBS-0071,desktop,45247,Dell,Inspire, Procesador I5-4590, 4 GB de Ram , Disco Duro de  500 GB Mecanico.,1561515687,,Activo,FAIS,administrativo,sin observacion,Disco Duro de Estado Solido de 240 GB,,,,"{id:'EQP-5BC108',inventory_number:'SBS-0073',type:'desktop',assigned_user_id:'80877',brand:'Dell',model:'Inspire',processor:' Procesador I5-4590',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515689',status:'Activo',location:'DIRECCI�N DE LICITACIONES Y COSTOS',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC107,EQP-5BC107,SBS-0072,desktop,46851,Dell,Inspire,,,,1561515688,,Activo,DESPACHO,administrativo,sin observacion,Sin Equipo,,,,"{id:'EQP-5BC109',inventory_number:'SBS-0074',type:'desktop',assigned_user_id:'43994',brand:'Dell',model:'Inspire',processor:' Procesador I5-10505',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515690',status:'Activo',location:'DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC108,EQP-5BC108,SBS-0073,desktop,80877,Dell,Inspire, Procesador I5-4590, 4 GB de Ram , Disco Solido de  240 GB.,1561515689,,Activo,DIRECCI�N DE LICITACIONES Y COSTOS,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC110',inventory_number:'SBS-0075',type:'desktop',assigned_user_id:'41581',brand:'Dell',model:'Inspire',processor:' Procesador E5800',ram:' 3 GB de Ram ',hard_drive:' Disco Duro de  160 GB Mecanico.',serial_number:'1561515691',status:'Activo',location:'DIRECCION GENERAL DE PARTICIPACION SOCIAL',description:'administrativo',notes:'En proceso SSD',requirement:'Disco Duro de Estado Solido de 240 GB y 4Gb de Ram',created_at:now,updated_at:now},"
EQP-5BC109,EQP-5BC109,SBS-0074,desktop,43994,Dell,Inspire, Procesador I5-10505, 8 GB de Ram , Disco Solido de  480 GB.,1561515690,,Activo,DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC111',inventory_number:'SBS-0076',type:'desktop',assigned_user_id:'44362',brand:'Dell',model:'Inspire',processor:' Procesador I5-10505',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515692',status:'Activo',location:'DIRECCI�N DE LICITACIONES Y COSTOS',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC110,EQP-5BC110,SBS-0075,desktop,41581,Dell,Inspire, Procesador E5800, 3 GB de Ram , Disco Duro de  160 GB Mecanico.,1561515691,,Activo,DIRECCION GENERAL DE PARTICIPACION SOCIAL,administrativo,En proceso SSD,Disco Duro de Estado Solido de 240 GB y 4Gb de Ram,,,,"{id:'EQP-5BC112',inventory_number:'SBS-0077',type:'desktop',assigned_user_id:'47945',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 3 GB de Ram ',hard_drive:' Disco Duro de  250 GB Mecanico.',serial_number:'1561515693',status:'Activo',location:'SUBSECRETAR�A DE INFRAESTRUCTURA SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Disco Duro de Estado Solido de 240 GB y 4Gb de Ram',created_at:now,updated_at:now},"
EQP-5BC111,EQP-5BC111,SBS-0076,desktop,44362,Dell,Inspire, Procesador I5-10505, 8 GB de Ram , Disco Solido de  480 GB.,1561515692,,Activo,DIRECCI�N DE LICITACIONES Y COSTOS,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC113',inventory_number:'SBS-0078',type:'desktop',assigned_user_id:'48199',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515694',status:'Activo',location:'DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION',description:'administrativo',notes:'ADMINISTRACION',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC112,EQP-5BC112,SBS-0077,desktop,47945,Dell,Inspire, Procesador E5400, 3 GB de Ram , Disco Duro de  250 GB Mecanico.,1561515693,,Activo,SUBSECRETAR�A DE INFRAESTRUCTURA SOCIAL,administrativo,sin observacion,Disco Duro de Estado Solido de 240 GB y 4Gb de Ram,,,,"{id:'EQP-5BC114',inventory_number:'SBS-0079',type:'desktop',assigned_user_id:'48315',brand:'Dell',model:'Inspire',processor:'',ram:'',hard_drive:'',serial_number:'1561515695',status:'Activo',location:'DIRECCION GENERAL DE PARTICIPACION SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Sin Equipo',created_at:now,updated_at:now},"
EQP-5BC113,EQP-5BC113,SBS-0078,desktop,48199,Dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515694,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,administrativo,ADMINISTRACION,Ninguno,,,,"{id:'EQP-5BC115',inventory_number:'SBS-0080',type:'desktop',assigned_user_id:'48032',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515696',status:'Activo',location:'DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION',description:'administrativo',notes:'PROGRAMACION',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC114,EQP-5BC114,SBS-0079,desktop,48315,Dell,Inspire,,,,1561515695,,Activo,DIRECCION GENERAL DE PARTICIPACION SOCIAL,administrativo,sin observacion,Sin Equipo,,,,"{id:'EQP-5BC116',inventory_number:'SBS-0081',type:'desktop',assigned_user_id:'42651',brand:'Dell',model:'Inspire',processor:' Procesador I5-12400',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515697',status:'Activo',location:'DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION',description:'administrativo',notes:'ADMINISTRACION',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC115,EQP-5BC115,SBS-0080,desktop,48032,Dell,Inspire, Procesador E5400, 8 GB de Ram , Disco Solido de  480 GB.,1561515696,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,administrativo,PROGRAMACION,Ninguno,,,,"{id:'EQP-5BC117',inventory_number:'SBS-0082',type:'desktop',assigned_user_id:'48198',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515698',status:'Activo',location:'FAIS',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC116,EQP-5BC116,SBS-0081,desktop,42651,Dell,Inspire, Procesador I5-12400, 8 GB de Ram , Disco Solido de  480 GB.,1561515697,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,administrativo,ADMINISTRACION,Ninguno,,,,"{id:'EQP-5BC118',inventory_number:'SBS-0083',type:'desktop',assigned_user_id:'42956',brand:'Dell',model:'Inspire',processor:' Procesador E5800',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515699',status:'Activo',location:'DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC117,EQP-5BC117,SBS-0082,desktop,48198,Dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515698,,Activo,FAIS,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC119',inventory_number:'SBS-0084',type:'desktop',assigned_user_id:'41972',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515700',status:'Activo',location:'DIRECCION GENERAL JURIDICA Y DE TRANSPARENCIA',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC118,EQP-5BC118,SBS-0083,desktop,42956,Dell,Inspire, Procesador E5800, 4 GB de Ram , Disco Solido de  480 GB.,1561515699,,Activo,DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC120',inventory_number:'SBS-0085',type:'desktop',assigned_user_id:'42954',brand:'Dell',model:'Inspire',processor:' Procesador I5-10400',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515701',status:'Activo',location:'DIRECCION DE ATENCION Y GESTION AL CIUDADANO',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC119,EQP-5BC119,SBS-0084,desktop,41972,Dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  480 GB.,1561515700,,Activo,DIRECCION GENERAL JURIDICA Y DE TRANSPARENCIA,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC121',inventory_number:'SBS-0086',type:'desktop',assigned_user_id:'48034',brand:'Dell',model:'Inspire',processor:' Procesador I5-10505',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515702',status:'Activo',location:'DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC120,EQP-5BC120,SBS-0085,desktop,42954,Dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Solido de  480 GB.,1561515701,,Activo,DIRECCION DE ATENCION Y GESTION AL CIUDADANO,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC122',inventory_number:'SBS-0087',type:'desktop',assigned_user_id:'45207',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515703',status:'Activo',location:'DIRECCION GENERAL JURIDICA Y DE TRANSPARENCIA',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC121,EQP-5BC121,SBS-0086,desktop,48034,Dell,Inspire, Procesador I5-10505, 8 GB de Ram , Disco Solido de  480 GB.,1561515702,,Activo,DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC123',inventory_number:'SBS-0088',type:'desktop',assigned_user_id:'38473',brand:'Dell',model:'Inspire',processor:' Procesador RYZEN 5 5600',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515704',status:'Activo',location:'FAIS',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC122,EQP-5BC122,SBS-0087,desktop,45207,Dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515703,,Activo,DIRECCION GENERAL JURIDICA Y DE TRANSPARENCIA,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC124',inventory_number:'SBS-0089',type:'desktop',assigned_user_id:'47752',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515705',status:'Activo',location:'UNIDAD IGUALDAD DE GENERO',description:'administrativo',notes:'Reemplazo Teclado y Mouse',requirement:'Requiere Ram para aumentar capacidad',created_at:now,updated_at:now},"
EQP-5BC123,EQP-5BC123,SBS-0088,desktop,38473,Dell,Inspire, Procesador RYZEN 5 5600, 8 GB de Ram , Disco Solido de  240 GB.,1561515704,,Activo,FAIS,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC125',inventory_number:'SBS-0090',type:'desktop',assigned_user_id:'48180',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515706',status:'Activo',location:'DIRECCION DE ATENCION Y GESTION AL CIUDADANO',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC124,EQP-5BC124,SBS-0089,desktop,47752,Dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515705,,Activo,UNIDAD IGUALDAD DE GENERO,administrativo,Reemplazo Teclado y Mouse,Requiere Ram para aumentar capacidad,,,,"{id:'EQP-5BC126',inventory_number:'SBS-0091',type:'desktop',assigned_user_id:'47783',brand:'Dell',model:'Inspire',processor:' Procesador E5700',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515707',status:'Activo',location:'DIRECCION GENERAL DE PARTICIPACION SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Ninguna',created_at:now,updated_at:now},"
EQP-5BC125,EQP-5BC125,SBS-0090,desktop,48180,Dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  480 GB.,1561515706,,Activo,DIRECCION DE ATENCION Y GESTION AL CIUDADANO,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC127',inventory_number:'SBS-0092',type:'desktop',assigned_user_id:'46700',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515708',status:'Activo',location:'DIRECCION GENERAL JURIDICA Y DE TRANSPARENCIA',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC126,EQP-5BC126,SBS-0091,desktop,47783,Dell,Inspire, Procesador E5700, 4 GB de Ram , Disco Solido de  240 GB.,1561515707,,Activo,DIRECCION GENERAL DE PARTICIPACION SOCIAL,administrativo,sin observacion,Ninguna,,,,"{id:'EQP-5BC128',inventory_number:'SBS-0093',type:'desktop',assigned_user_id:'12802',brand:'Dell',model:'Inspire',processor:' Procesador E5800',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515709',status:'Activo',location:'DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION',description:'administrativo',notes:'PROGRAMACION',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC127,EQP-5BC127,SBS-0092,desktop,46700,Dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515708,,Activo,DIRECCION GENERAL JURIDICA Y DE TRANSPARENCIA,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC130',inventory_number:'SBS-0094',type:'desktop',assigned_user_id:'81434',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515711',status:'Activo',location:'DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
