serial_number,name,type,brand,model,serial_number,inventory_number,processor,ram,hard_drive,operating_system,description,status,location,notes,requirement,assigned_user_id,created_at,updated_at,,
EQP-5BC128,EQP-5BC128,SBS-0093,desktop,12802,Dell,Inspire, Procesador E5800, 4 GB de Ram , Disco Solido de  240 GB.,1561515709,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,administrativo,PROGRAMACION,Ninguno,,,,"{id:'EQP-5BC131',inventory_number:'SBS-0095',type:'desktop',assigned_user_id:'82961',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515712',status:'Activo',location:'SUBDIRECCI�N DE EVALUACI�N SOCIAL ',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC130,EQP-5BC130,SBS-0094,desktop,81434,Dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  480 GB.,1561515711,,Activo,DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC132',inventory_number:'SBS-0096',type:'desktop',assigned_user_id:'40979',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515713',status:'Activo',location:'BIENESTAR',description:'Captura',notes:'Asignado a Captura Pecera Planta Alta',requirement:'Ninguna',created_at:now,updated_at:now},"
EQP-5BC131,EQP-5BC131,SBS-0095,desktop,82961,Dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515712,,Activo,SUBDIRECCI�N DE EVALUACI�N SOCIAL ,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC133',inventory_number:'SBS-0097',type:'desktop',assigned_user_id:'47941',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 4 GB de Ram ',hard_drive:' Disco Duro de  320 GB Mecanico.',serial_number:'1561515714',status:'Activo',location:'DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Disco Duro de Estado Solido de 240 GB',created_at:now,updated_at:now},"
EQP-5BC132,EQP-5BC132,SBS-0096,desktop,40979,Dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515713,,Activo,BIENESTAR,Captura,Asignado a Captura Pecera Planta Alta,Ninguna,,,,"{id:'EQP-5BC134',inventory_number:'SBS-0098',type:'desktop',assigned_user_id:'48063',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515715',status:'Activo',location:'DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION',description:'administrativo',notes:'ADMINISTRACION',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC133,EQP-5BC133,SBS-0097,desktop,47941,Dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Duro de  320 GB Mecanico.,1561515714,,Activo,DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL,administrativo,sin observacion,Disco Duro de Estado Solido de 240 GB,,,,"{id:'EQP-5BC135',inventory_number:'SBS-0099',type:'desktop',assigned_user_id:'18564',brand:'Dell',model:'Inspire',processor:' Procesador I5-4590',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515716',status:'Activo',location:'DESPACHO',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC134,EQP-5BC134,SBS-0098,desktop,48063,Dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  480 GB.,1561515715,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,administrativo,ADMINISTRACION,Ninguno,,,,"{id:'EQP-5BC136',inventory_number:'SBS-0100',type:'desktop',assigned_user_id:'40752',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515717',status:'Activo',location:'DIRECCION GENERAL DE PARTICIPACION SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Ninguna',created_at:now,updated_at:now},"
EQP-5BC135,EQP-5BC135,SBS-0099,desktop,18564,Dell,Inspire, Procesador I5-4590, 4 GB de Ram , Disco Solido de  240 GB.,1561515716,,Activo,DESPACHO,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC137',inventory_number:'SBS-0101',type:'desktop',assigned_user_id:'48031',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515718',status:'Activo',location:'COMUNICACION SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC136,EQP-5BC136,SBS-0100,desktop,40752,Dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515717,,Activo,DIRECCION GENERAL DE PARTICIPACION SOCIAL,administrativo,sin observacion,Ninguna,,,,"{id:'EQP-5BC138',inventory_number:'SBS-0102',type:'desktop',assigned_user_id:'81581',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 4 GB de Ram ',hard_drive:' Disco Duro de  320 GB Mecanico.',serial_number:'1561515719',status:'Activo',location:'DESPACHO',description:'administrativo',notes:'sin observacion',requirement:'Disco Duro de Estado Solido de 240 GB',created_at:now,updated_at:now},"
EQP-5BC137,EQP-5BC137,SBS-0101,desktop,48031,Dell,Inspire, Procesador E5400, 8 GB de Ram , Disco Solido de  480 GB.,1561515718,,Activo,COMUNICACION SOCIAL,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC139',inventory_number:'SBS-0103',type:'desktop',assigned_user_id:'28122',brand:'Dell',model:'Inspire',processor:' Procesador E5800',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515720',status:'Activo',location:'DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC138,EQP-5BC138,SBS-0102,desktop,81581,Dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Duro de  320 GB Mecanico.,1561515719,,Activo,DESPACHO,administrativo,sin observacion,Disco Duro de Estado Solido de 240 GB,,,,"{id:'EQP-5BC140',inventory_number:'SBS-0104',type:'desktop',assigned_user_id:'39962',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515721',status:'Activo',location:'SUBDIRECCI�N DE EVALUACI�N SOCIAL ',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC139,EQP-5BC139,SBS-0103,desktop,28122,Dell,Inspire, Procesador E5800, 4 GB de Ram , Disco Solido de  240 GB.,1561515720,,Activo,DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC141',inventory_number:'SBS-0105',type:'desktop',assigned_user_id:'80876',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 2 GB de Ram ',hard_drive:' Disco Duro de  160 GB Mecanico.',serial_number:'1561515722',status:'Activo',location:'DIRECCION GENERAL DE PARTICIPACION SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Disco Duro de Estado Solido de 240 GB y 4Gb de Ram',created_at:now,updated_at:now},"
EQP-5BC140,EQP-5BC140,SBS-0104,desktop,39962,Dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515721,,Activo,SUBDIRECCI�N DE EVALUACI�N SOCIAL ,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC142',inventory_number:'SBS-0106',type:'desktop',assigned_user_id:'47594',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515723',status:'Activo',location:'SUBSECRETAR�A DE DE INCLUSI�N SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC141,EQP-5BC141,SBS-0105,desktop,80876,Dell,Inspire, Procesador E5400, 2 GB de Ram , Disco Duro de  160 GB Mecanico.,1561515722,,Activo,DIRECCION GENERAL DE PARTICIPACION SOCIAL,administrativo,sin observacion,Disco Duro de Estado Solido de 240 GB y 4Gb de Ram,,,,"{id:'EQP-5BC143',inventory_number:'SBS-0107',type:'desktop',assigned_user_id:'38205',brand:'Dell',model:'Inspire',processor:' Procesador I5-10505',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515724',status:'Activo',location:'DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION',description:'administrativo',notes:'RH',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC142,EQP-5BC142,SBS-0106,desktop,47594,Dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515723,,Activo,SUBSECRETAR�A DE DE INCLUSI�N SOCIAL,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC144',inventory_number:'SBS-0108',type:'desktop',assigned_user_id:'28129',brand:'Dell',model:'Inspire',processor:' Procesador I5-10505',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515725',status:'Activo',location:'SUBDIRECCI�N DE EVALUACI�N SOCIAL ',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC143,EQP-5BC143,SBS-0107,desktop,38205,Dell,Inspire, Procesador I5-10505, 8 GB de Ram , Disco Solido de  480 GB.,1561515724,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,administrativo,RH,Ninguno,,,,"{id:'EQP-5BC145',inventory_number:'SBS-0109',type:'desktop',assigned_user_id:'pendiente',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515726',status:'Activo',location:'DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION',description:'administrativo',notes:'ADMINISTRACION',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC144,EQP-5BC144,SBS-0108,desktop,28129,Dell,Inspire, Procesador I5-10505, 8 GB de Ram , Disco Solido de  480 GB.,1561515725,,Activo,SUBDIRECCI�N DE EVALUACI�N SOCIAL ,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC146',inventory_number:'SBS-0110',type:'desktop',assigned_user_id:'pendiente',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515727',status:'Activo',location:'SUBDIRECCI�N DE EVALUACI�N SOCIAL ',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC145,EQP-5BC145,SBS-0109,desktop,pendiente,Dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  480 GB.,1561515726,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,administrativo,ADMINISTRACION,Ninguno,,,,"{id:'EQP-5BC147',inventory_number:'SBS-0111',type:'desktop',assigned_user_id:'pendiente',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 2 GB de Ram ',hard_drive:' Disco Duro de  160 GB Mecanico.',serial_number:'1561515728',status:'Activo',location:'OFICIALIA DE PARTES',description:'administrativo',notes:'sin observacion',requirement:'Disco Duro de Estado Solido de 240 GB y 4Gb de Ram',created_at:now,updated_at:now},"
EQP-5BC146,EQP-5BC146,SBS-0110,desktop,pendiente,Dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515727,,Activo,SUBDIRECCI�N DE EVALUACI�N SOCIAL ,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC148',inventory_number:'SBS-0112',type:'desktop',assigned_user_id:'pendiente',brand:'Dell',model:'Inspire',processor:' Procesador I5-10505',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515729',status:'Activo',location:'BIENESTAR',description:'Captura',notes:'Asignado a Captura Pecera Planta Alta',requirement:'Ninguna',created_at:now,updated_at:now},"
EQP-5BC147,EQP-5BC147,SBS-0111,desktop,pendiente,Dell,Inspire, Procesador E5400, 2 GB de Ram , Disco Duro de  160 GB Mecanico.,1561515728,,Activo,OFICIALIA DE PARTES,administrativo,sin observacion,Disco Duro de Estado Solido de 240 GB y 4Gb de Ram,,,,"{id:'EQP-5BC149',inventory_number:'SBS-0113',type:'desktop',assigned_user_id:'pendiente',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515730',status:'Activo',location:'DIRECCI�N GENERAL DE ADMINISTRACI�N Y PLANEACI�N',description:'administrativo',notes:'PROGRAMACION',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC148,EQP-5BC148,SBS-0112,desktop,pendiente,Dell,Inspire, Procesador I5-10505, 8 GB de Ram , Disco Solido de  480 GB.,1561515729,,Activo,BIENESTAR,Captura,Asignado a Captura Pecera Planta Alta,Ninguna,,,,"{id:'EQP-5BC150',inventory_number:'SBS-0114',type:'desktop',assigned_user_id:'pendiente',brand:'Dell',model:'Inspire',processor:' Procesador I5-10400',ram:' 8 GB de Ram ',hard_drive:' Disco Duro de  1TB Mecanico.',serial_number:'1561515731',status:'Activo',location:'BIENESTAR',description:'Captura',notes:'Asignado a Captura Pecera Planta Alta',requirement:'Disco Duro de Estado Solido de 240 GB',created_at:now,updated_at:now},"
EQP-5BC149,EQP-5BC149,SBS-0113,desktop,pendiente,Dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515730,,Activo,DIRECCI�N GENERAL DE ADMINISTRACI�N Y PLANEACI�N,administrativo,PROGRAMACION,Ninguno,,,,"{id:'EQP-5BC151',inventory_number:'SBS-0115',type:'desktop',assigned_user_id:'pendiente',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515732',status:'Activo',location:'DIRECCION GENERAL JURIDICA Y DE TRANSPARENCIA',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC150,EQP-5BC150,SBS-0114,desktop,pendiente,Dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Duro de  1TB Mecanico.,1561515731,,Activo,BIENESTAR,Captura,Asignado a Captura Pecera Planta Alta,Disco Duro de Estado Solido de 240 GB,,,,"{id:'EQP-5BC152',inventory_number:'SBS-0116',type:'desktop',assigned_user_id:'pendiente',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515733',status:'Activo',location:'DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC151,EQP-5BC151,SBS-0115,desktop,pendiente,Dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515732,,Activo,DIRECCION GENERAL JURIDICA Y DE TRANSPARENCIA,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC153',inventory_number:'SBS-0117',type:'desktop',assigned_user_id:'pendiente',brand:'Dell',model:'Inspire',processor:' Procesador I5-4590',ram:' 4 GB de Ram ',hard_drive:' Disco Duro Solido de 240 GB',serial_number:'1561515734',status:'Activo',location:'DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Requiere Ram para aumentar capacidad',created_at:now,updated_at:now},"
EQP-5BC152,EQP-5BC152,SBS-0116,desktop,pendiente,Dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515733,,Activo,DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC154',inventory_number:'SBS-0118',type:'desktop',assigned_user_id:'pendiente',brand:'Dell',model:'Inspire',processor:' Procesador E5800',ram:' 3 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515735',status:'Activo',location:'UNIDAD IGUALDAD DE GENERO',description:'administrativo',notes:'sin observacion',requirement:'Requiere Ram para aumentar capacidad',created_at:now,updated_at:now},"
EQP-5BC153,EQP-5BC153,SBS-0117,desktop,pendiente,Dell,Inspire, Procesador I5-4590, 4 GB de Ram , Disco Duro Solido de 240 GB,1561515734,,Activo,DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL,administrativo,sin observacion,Requiere Ram para aumentar capacidad,,,,"{id:'EQP-5BC155',inventory_number:'SBS-0119',type:'laptop',assigned_user_id:'pendiente',brand:'Dell',model:'Inspire',processor:' Procesador I5-6200',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515736',status:'Activo',location:'COMUNICACION SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Requiere Ram para aumentar capacidad',created_at:now,updated_at:now},"
EQP-5BC154,EQP-5BC154,SBS-0118,desktop,pendiente,Dell,Inspire, Procesador E5800, 3 GB de Ram , Disco Solido de  240 GB.,1561515735,,Activo,UNIDAD IGUALDAD DE GENERO,administrativo,sin observacion,Requiere Ram para aumentar capacidad,,,,"{id:'EQP-5BC156',inventory_number:'SBS-0120',type:'laptop',assigned_user_id:'pendiente',brand:'Dell',model:'Inspire',processor:' Procesador I7-11800H',ram:' 16 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515737',status:'Activo',location:'COMUNICACION SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC155,EQP-5BC155,SBS-0119,laptop,pendiente,Dell,Inspire, Procesador I5-6200, 4 GB de Ram , Disco Solido de  480 GB.,1561515736,,Activo,COMUNICACION SOCIAL,administrativo,sin observacion,Requiere Ram para aumentar capacidad,,,,"{id:'EQP-5BC157',inventory_number:'SBS-0121',type:'desktop',assigned_user_id:'pendiente',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 4 GB de Ram ',hard_drive:' Disco Duro de  160 GB Mecanico.',serial_number:'1561515738',status:'Activo',location:'DIRECCION GENERAL JURIDICA Y DE TRANSPARENCIA',description:'administrativo',notes:'Equipo y Lugar sin Asignar',requirement:'Disco Duro de Estado Solido de 240 GB',created_at:now,updated_at:now},"
EQP-5BC156,EQP-5BC156,SBS-0120,laptop,pendiente,Dell,Inspire, Procesador I7-11800H, 16 GB de Ram , Disco Solido de  240 GB.,1561515737,,Activo,COMUNICACION SOCIAL,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC158',inventory_number:'SBS-0122',type:'desktop',assigned_user_id:'pendiente',brand:'Dell',model:'Inspire',processor:' Procesador E5700',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515739',status:'Activo',location:'SUBSECRETAR�A DE INFRAESTRUCTURA SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC157,EQP-5BC157,SBS-0121,desktop,pendiente,Dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Duro de  160 GB Mecanico.,1561515738,,Activo,DIRECCION GENERAL JURIDICA Y DE TRANSPARENCIA,administrativo,Equipo y Lugar sin Asignar,Disco Duro de Estado Solido de 240 GB,,,,"{id:'EQP-5BC159',inventory_number:'SBS-0123',type:'desktop',assigned_user_id:'pendiente',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515740',status:'Activo',location:'SUBSECRETAR�A DE INFRAESTRUCTURA SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC158,EQP-5BC158,SBS-0122,desktop,pendiente,Dell,Inspire, Procesador E5700, 4 GB de Ram , Disco Solido de  240 GB.,1561515739,,Activo,SUBSECRETAR�A DE INFRAESTRUCTURA SOCIAL,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC160',inventory_number:'SBS-0124',type:'desktop',assigned_user_id:'pendiente',brand:'Dell',model:'Inspire',processor:' Procesador E7300',ram:' 2 GB de Ram ',hard_drive:' Disco Duro de  160 GB Mecanico.',serial_number:'1561515741',status:'Activo',location:'DIRECCION GENERAL DE PARTICIPACION SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Disco Duro de Estado Solido de 240 GB y 4Gb de Ram',created_at:now,updated_at:now},"
EQP-5BC159,EQP-5BC159,SBS-0123,desktop,pendiente,Dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515740,,Activo,SUBSECRETAR�A DE INFRAESTRUCTURA SOCIAL,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC161',inventory_number:'SBS-0125',type:'desktop',assigned_user_id:'pendiente',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  480 GB.',serial_number:'1561515742',status:'Activo',location:'DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION',description:'administrativo',notes:'ADMINISTRACION',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC160,EQP-5BC160,SBS-0124,desktop,pendiente,Dell,Inspire, Procesador E7300, 2 GB de Ram , Disco Duro de  160 GB Mecanico.,1561515741,,Activo,DIRECCION GENERAL DE PARTICIPACION SOCIAL,administrativo,sin observacion,Disco Duro de Estado Solido de 240 GB y 4Gb de Ram,,,,"{id:'EQP-5BC162',inventory_number:'SBS-0126',type:'desktop',assigned_user_id:'pendiente',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515743',status:'Activo',location:'FAIS',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC161,EQP-5BC161,SBS-0125,desktop,pendiente,Dell,Inspire, Procesador I5-6400, 8 GB de Ram , Disco Solido de  480 GB.,1561515742,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,administrativo,ADMINISTRACION,Ninguno,,,,"{id:'EQP-5BC163',inventory_number:'SBS-0127',type:'desktop',assigned_user_id:'pendiente',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515744',status:'Activo',location:'DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION',description:'administrativo',notes:'PROGRAMACION',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC162,EQP-5BC162,SBS-0126,desktop,pendiente,Dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515743,,Activo,FAIS,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC164',inventory_number:'SBS-0128',type:'desktop',assigned_user_id:'pendiente',brand:'Dell',model:'Inspire',processor:' Procesador E5400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515745',status:'Activo',location:'SUBDIRECCI�N DE EVALUACI�N SOCIAL ',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC163,EQP-5BC163,SBS-0127,desktop,pendiente,Dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515744,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,administrativo,PROGRAMACION,Ninguno,,,,"{id:'EQP-5BC165',inventory_number:'SBS-0129',type:'laptop',assigned_user_id:'pendiente',brand:'Dell',model:'Inspire',processor:'',ram:'',hard_drive:'',serial_number:'1561515746',status:'Activo',location:'DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC164,EQP-5BC164,SBS-0128,desktop,pendiente,Dell,Inspire, Procesador E5400, 4 GB de Ram , Disco Solido de  240 GB.,1561515745,,Activo,SUBDIRECCI�N DE EVALUACI�N SOCIAL ,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC166',inventory_number:'SBS-0130',type:'desktop',assigned_user_id:'pendiente',brand:'Dell',model:'Inspire',processor:' Procesador I5-10400',ram:' 8 GB de Ram ',hard_drive:' Disco Solido de  1TB GB.',serial_number:'1561515747',status:'Activo',location:'SISTEMAS',description:'administrativo',notes:'sin observacion',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC165,EQP-5BC165,SBS-0129,laptop,pendiente,Dell,Inspire,,,,1561515746,,Activo,DIRECCI�N GENERAL DE INFRAESTRUCTURA SOCIAL,administrativo,sin observacion,Ninguno,,,,"{id:'EQP-5BC167',inventory_number:'SBS-0131',type:'desktop',assigned_user_id:'pendiente',brand:'Dell',model:'Inspire',processor:' Procesador I5-6400',ram:' 4 GB de Ram ',hard_drive:' Disco Solido de  240 GB.',serial_number:'1561515748',status:'Activo',location:'DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION',description:'administrativo',notes:'ADMINISTRACION',requirement:'Ninguno',created_at:now,updated_at:now},"
EQP-5BC166,EQP-5BC166,SBS-0130,desktop,pendiente,Dell,Inspire, Procesador I5-10400, 8 GB de Ram , Disco Solido de  1TB GB.,1561515747,,Activo,SISTEMAS,administrativo,sin observacion,Ninguno,,,,"{id:'',inventory_number:'',type:'',assigned_user_id:'',brand:'',model:'',processor:'',ram:'',hard_drive:'',serial_number:'',status:'',location:'',description:'',notes:'',requerimiento:'',created_at:now,updated_at:now},"
EQP-5BC167,EQP-5BC167,SBS-0131,desktop,pendiente,Dell,Inspire, Procesador I5-6400, 4 GB de Ram , Disco Solido de  240 GB.,1561515748,,Activo,DIRECCION GENERAL DE ADMINISTRACION Y PLANEACION,administrativo,ADMINISTRACION,Ninguno,,,,"{id:'',inventory_number:'',type:'',assigned_user_id:'',brand:'',model:'',processor:'',ram:'',hard_drive:'',serial_number:'',status:'',location:'',description:'',notes:'',requerimiento:'',created_at:now,updated_at:now},"
